Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,100nF,C1525
D1,0402,1,PMEG2010EA,C2837790
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D2, D3, D4, D5, D6, D7, D8, D9",SOT-23,17,BAV70_Small,
F1,0402,1,500mA,C210357
H1,MountingHole_2.2mm_M2_Pad_Via_nosilk,1,MountingHole_Pad,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C2765186
"MX1, MX10, MX25, MX31",SW_MX_HS_CPG151101S11_1.75u,4,MX_SW_solder,
"MX11, MX14, MX15, MX17, MX20, MX24, MX27, MX28, MX29, MX30, MX32",SW_MX_HS_CPG151101S11_1u,11,MX_SW_solder,
"MX12, MX13, MX18, MX19, MX22, MX33, MX34, MX4, MX5, MX6, MX7",SW_MX_HS_CPG151101S11_1.25u,11,MX_SW_solder,
"MX16, MX2, MX21, MX23, MX26, MX3, MX8, MX9",SW_MX_HS_CPG151101S11_1.5u,8,MX_SW_solder,
"R1, R2",0402,2,5.1k,C25905
R3,0402,1,10k,C25744
S1,STAB_MX_P_2.25u,1,MX_stab,
S2,STAB_MX_P_2.75u,1,MX_stab,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,BOOT,C115357
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,~,C111367
U2,SOT-23-6,1,USBLC6-2SC6,C2687116
